"# This file produced by program: ""write_detector_layout.pro""",,,,,,, ,,,,,,
title,Maia 64 Ge strip,,,,,,,,,,,,
N,64,Number of detectors,,,,,,,,,,,
Start,0,Start at this # (default: detector numbers start at 0),,,,,,,,,,,
Shape,1,Shape of detectors (0=circular, 1=square),,,,,,,,,,
Symmetry,4,Detector array symmetry steps for 360 degree (default is 4),,,,,,,,,,,
Reorient,0,"Re-orient or rotate by ""reorient*360/symmetry"" degrees",,,,,,,,,,,
MirrorX,0,Mirror the layout in X,,,,,,,,,,,
MirrorY,0,Mirror the layout in Y,,,,,,,,,,,
Veto,0,Veto channels with excessive FWHM,,,,,,,,,,,
Threshold,250,FWHM threshold (eV),,,,,,,,,,,
# ID, X,Y offsets from centre (mm), Z offset from planar (mm), Width, Height (mm), Tilt (degrees), bad (0=good 1=poor 2=dead), FWHM (eV), Hermes, Quadrant, Radial, Column, Row
Data, X, Y, Z, width, height, tilt, bad, FWHM, Hermes, Quadrant, Radial, Column, Row
57,2.43,9.252,0,0.794,0.548,0,0,0,1,0,9,12,0
48,3.405,9.252,0,0.759,0.548,0,0,0,1,0,9,13,0
47,4.379,9.252,0,0.724,0.548,0,0,0,1,0,9,14,0
38,5.354,9.252,0,0.689,0.548,0,0,0,1,0,10,15,0
25,6.328,9.252,0,0.654,0.548,0,0,0,0,0,10,16,0
28,7.303,9.252,0,0.619,0.548,0,0,0,0,0,11,17,0
15,8.277,9.252,0,0.583,0.548,0,0,0,0,0,11,18,0
10,9.252,9.252,0,0.548,0.548,0,0,0,0,0,12,19,0
56,2.43,8.277,0,0.794,0.583,0,0,0,1,0,8,12,1
60,3.405,8.277,0,0.759,0.583,0,0,0,1,0,8,13,1
35,4.379,8.277,0,0.724,0.583,0,0,0,1,0,8,14,1
39,5.354,8.277,0,0.689,0.583,0,0,0,1,0,9,15,1
24,6.328,8.277,0,0.654,0.583,0,0,0,0,0,9,16,1
20,7.303,8.277,0,0.619,0.583,0,0,0,0,0,10,17,1
14,8.277,8.277,0,0.583,0.583,0,0,0,0,0,11,18,1
2,9.252,8.277,0,0.548,0.583,0,0,0,0,0,11,19,1
63,2.43,7.303,0,0.794,0.619,0,0,0,1,0,7,12,2
52,3.405,7.303,0,0.759,0.619,0,0,0,1,0,7,13,2
43,4.379,7.303,0,0.724,0.619,0,0,0,1,0,8,14,2
32,5.354,7.303,0,0.689,0.619,0,0,0,1,0,8,15,2
31,6.328,7.303,0,0.654,0.619,0,0,0,0,0,9,16,2
27,7.303,7.303,0,0.619,0.619,0,0,0,0,0,9,17,2
13,8.277,7.303,0,0.583,0.619,0,0,0,0,0,10,18,2
9,9.252,7.303,0,0.548,0.619,0,0,0,0,0,11,19,2
55,2.43,6.328,0,0.794,0.654,0,0,0,1,0,6,12,3
59,3.405,6.328,0,0.759,0.654,0,0,0,1,0,6,13,3
36,4.379,6.328,0,0.724,0.654,0,0,0,1,0,7,14,3
40,5.354,6.328,0,0.689,0.654,0,0,0,1,0,7,15,3
23,6.328,6.328,0,0.654,0.654,0,0,0,0,0,8,16,3
19,7.303,6.328,0,0.619,0.654,0,0,0,0,0,9,17,3
5,8.277,6.328,0,0.583,0.654,0,0,0,0,0,9,18,3
1,9.252,6.328,0,0.548,0.654,0,0,0,0,0,10,19,3
62,2.43,5.354,0,0.794,0.689,0,0,0,1,0,5,12,4
51,3.405,5.354,0,0.759,0.689,0,0,0,1,0,5,13,4
44,4.379,5.354,0,0.724,0.689,0,0,0,1,0,6,14,4
33,5.354,5.354,0,0.689,0.689,0,0,0,1,0,7,15,4
30,6.328,5.354,0,0.654,0.689,0,0,0,0,0,7,16,4
26,7.303,5.354,0,0.619,0.689,0,0,0,0,0,8,17,4
12,8.277,5.354,0,0.583,0.689,0,0,0,0,0,9,18,4
8,9.252,5.354,0,0.548,0.689,0,0,0,0,0,10,19,4
54,2.43,4.379,0,0.794,0.724,0,0,0,1,0,4,12,5
58,3.405,4.379,0,0.759,0.724,0,0,0,1,0,5,13,5
37,4.379,4.379,0,0.724,0.724,0,0,0,1,0,5,14,5
41,5.354,4.379,0,0.689,0.724,0,0,0,1,0,6,15,5
22,6.328,4.379,0,0.654,0.724,0,0,0,0,0,7,16,5
18,7.303,4.379,0,0.619,0.724,0,0,0,0,0,8,17,5
4,8.277,4.379,0,0.583,0.724,0,0,0,0,0,8,18,5
0,9.252,4.379,0,0.548,0.724,0,0,0,0,0,9,19,5
61,2.43,3.405,0,0.794,0.759,0,0,0,1,0,3,12,6
50,3.405,3.405,0,0.759,0.759,0,0,0,1,0,4,13,6
45,4.379,3.405,0,0.724,0.759,0,0,0,1,0,5,14,6
34,5.354,3.405,0,0.689,0.759,0,0,0,1,0,5,15,6
29,6.328,3.405,0,0.654,0.759,0,0,0,0,0,6,16,6
17,7.303,3.405,0,0.619,0.759,0,0,0,0,0,7,17,6
11,8.277,3.405,0,0.583,0.759,0,0,0,0,0,8,18,6
7,9.252,3.405,0,0.548,0.759,0,0,0,0,0,9,19,6
53,2.43,2.43,0,0.794,0.794,0,0,0,1,0,2,12,7
49,3.405,2.43,0,0.759,0.794,0,0,0,1,0,3,13,7
46,4.379,2.43,0,0.724,0.794,0,0,0,1,0,4,14,7
42,5.354,2.43,0,0.689,0.794,0,0,0,1,0,5,15,7
21,6.328,2.43,0,0.654,0.794,0,0,0,0,0,6,16,7
16,7.303,2.43,0,0.619,0.794,0,0,0,0,0,7,17,7
3,8.277,2.43,0,0.583,0.794,0,0,0,0,0,8,18,7
6,9.252,2.43,0,0.548,0.794,0,0,0,0,0,9,19,7
